iter	Passed	Remaining
0	0	740
1	0	481
2	1	407
3	1	366
4	1	351
5	1	325
6	2	314
7	2	302
8	2	291
9	2	282
10	3	277
11	3	269
12	3	267
13	3	261
14	3	256
15	4	255
16	4	255
17	4	252
18	4	248
19	5	245
20	5	242
21	5	241
22	5	239
23	5	239
24	6	238
25	6	238
26	6	237
27	6	236
28	7	235
29	7	235
30	7	234
31	7	232
32	7	230
33	8	229
34	8	227
35	8	226
36	8	225
37	8	224
38	9	222
39	9	221
40	9	220
41	9	219
42	9	218
43	10	219
44	10	218
45	10	217
46	10	217
47	10	217
48	11	218
49	11	217
50	11	217
51	11	216
52	12	215
53	12	215
54	12	214
55	12	214
56	12	213
57	13	212
58	13	212
59	13	211
60	13	211
61	13	210
62	14	210
63	14	210
64	14	211
65	14	210
66	15	210
67	15	210
68	15	209
69	15	208
70	15	208
71	16	207
72	16	207
73	16	206
74	16	206
75	16	205
76	17	205
77	17	204
78	17	204
79	17	203
80	17	202
81	18	202
82	18	200
83	18	200
84	18	200
85	18	200
86	18	199
87	19	198
88	19	198
89	19	197
90	19	197
91	19	196
92	20	195
93	20	195
94	20	195
95	20	195
96	20	195
97	21	195
98	21	194
99	21	194
100	21	194
101	22	193
102	22	193
103	22	193
104	22	193
105	22	192
106	23	192
107	23	192
108	23	191
109	23	191
110	23	191
111	24	190
112	24	190
113	24	190
114	24	190
115	24	190
116	25	189
117	25	189
118	25	189
119	25	189
120	26	188
121	26	188
122	26	187
123	26	187
124	26	186
125	26	186
126	27	185
127	27	185
128	27	185
129	27	184
130	27	184
131	28	184
132	28	183
133	28	183
134	28	183
135	28	183
136	29	182
137	29	182
138	29	182
139	29	182
140	29	181
141	30	181
142	30	181
143	30	180
144	30	180
145	30	180
146	30	179
147	31	179
148	31	179
149	31	178
150	31	178
151	31	178
152	32	177
153	32	177
154	32	177
155	32	177
156	32	176
157	33	176
158	33	176
159	33	176
160	33	175
161	33	175
162	34	174
163	34	174
164	34	174
165	34	174
166	34	174
167	35	173
168	35	173
169	35	173
170	35	172
171	35	172
172	36	172
173	36	172
174	36	171
175	36	171
176	36	171
177	37	170
178	37	171
179	37	171
180	37	170
181	37	170
182	38	170
183	38	170
184	38	169
185	38	169
186	38	169
187	39	169
188	39	168
189	39	168
190	39	168
191	39	167
192	40	167
193	40	167
194	40	167
195	40	167
196	40	166
197	41	166
198	41	166
199	41	166
200	41	165
201	41	165
202	42	165
203	42	165
204	42	165
205	42	164
206	42	164
207	43	164
208	43	164
209	43	164
210	43	163
211	43	163
212	44	163
213	44	162
214	44	162
215	44	162
216	44	162
217	45	161
218	45	161
219	45	161
220	45	161
221	46	161
222	46	161
223	46	160
224	46	160
225	46	160
226	47	160
227	47	160
228	47	159
229	47	159
230	47	159
231	48	159
232	48	159
233	48	159
234	48	159
235	49	159
236	49	158
237	49	158
238	49	158
239	49	158
240	50	157
241	50	157
242	50	157
243	50	157
244	51	157
245	51	157
246	51	156
247	51	156
248	51	156
249	52	156
250	52	155
251	52	155
252	52	155
253	52	154
254	52	154
255	53	154
256	53	154
257	53	154
258	53	154
259	54	153
260	54	153
261	54	153
262	54	153
263	54	152
264	55	152
265	55	152
266	55	152
267	55	152
268	55	151
269	56	151
270	56	151
271	56	151
272	56	150
273	56	150
274	57	151
275	57	151
276	57	150
277	57	150
278	58	150
279	58	150
280	58	149
281	58	149
282	58	149
283	59	149
284	59	148
285	59	148
286	59	148
287	59	148
288	60	147
289	60	147
290	60	147
291	60	147
292	60	146
293	61	146
294	61	146
295	61	146
296	61	146
297	61	145
298	62	145
299	62	145
300	62	145
301	62	145
